ts,uid,id.orig_h,id.resp_h,duration,orig_bytes,resp_bytes,history,is_incomplete_conn,log_type,hour,day_of_week,proto_udp,service_dhcp,conn_state_SHR,requests_per_window,history_entropy
1744475572.383037,CoDSSS2H2iiViIQVah,192.168.122.1,192.168.122.224,0.0,0.0,0.0,C,0,conn,16,5,False,False,False,12,-0.0
1744475567.482692,C0Vq1577PcdmzMtd8,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcCc,0,conn,16,5,False,False,False,12,1.0
1744475572.38307,C3ioxB1K1J8ZjSyp59,192.168.122.1,192.168.122.224,0.0,0.0,0.0,^cCC,0,conn,16,5,False,False,False,12,1.5
1744475577.393736,CMLUJ5Qg1obEPpyj6,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475583.529085,CJsErgX3IRboI58wj,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,11,0.9182958340544896
1744475588.594594,CmGJye4sGDwXlQUPNi,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,11,0.9182958340544896
1744475593.914923,COkU5l1sSXOjm53bE8,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,11,0.9182958340544896
1744475599.530023,CGm0at1lT83X2yOl1a,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,11,0.9182958340544896
1744475605.02569,CRoMfv3J6sKqX65cj2,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,11,0.9182958340544896
1744475610.09216,CBGzA44czu2lHc1G1a,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,11,0.9182958340544896
1744475615.789404,CGl2zb4P6jKk7huAdk,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,11,0.9182958340544896
1744475620.955178,CCHHvj1eYt7jQcOEr9,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,11,0.9182958340544896
1744475626.303124,CMUNxr28Xr7d3EcsV4,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,11,0.9182958340544896
1744475631.998624,CxopIn2yzgTNSLUY6j,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,11,0.9182958340544896
